Time (seconds),Value
3.63,40.66
3.81,62.62
3.97,77.68
4.13,81.57
4.3,83.12
4.46,81.3
4.62,84.18
4.78,85.47
4.97,85.78
5.13,84.95
5.3,85.07
5.46,84.82
5.63,85.1
5.81,86.45
5.99,85.72
6.17,85.07
6.37,84.9
6.53,85.09
6.7,85.54
6.86,84.95
7.03,84.9
7.19,85.02
7.41,85.85
7.59,86.24
7.77,85.5
7.94,83.94
8.11,84.64
8.27,85.23
8.45,84.82
8.62,85.22
8.79,85.27
8.95,85.43
9.17,85.13
9.33,85.3
9.5,85.31
9.67,85.36
9.84,85.32
10.02,85.23
10.19,85.29
10.36,85.2
10.53,85.23
10.7,85.26
10.88,85.15
11.05,85.24
11.21,85.23
11.38,85.31
11.55,85.22
11.72,85.29
11.9,85.26
12.07,85.21
12.24,85.42
12.4,85.18
12.56,85.3
12.72,85.16
12.92,85.43
13.1,85.21
13.27,85.25
13.44,85.17
13.61,85.34
13.82,85.36
13.99,85.37
14.15,85.23
14.32,85.2
14.48,85.3
14.66,85.3
14.82,85.3
14.99,85.28
15.15,85.14
15.31,85.29
15.48,85.24
15.66,85.19
15.83,85.34
15.99,85.15
16.16,85.34
17.38,85.25
17.57,85.25
17.74,85.26
17.92,85.22
18.11,85.1
18.29,85.23
18.46,85.14
18.7,85.31
18.98,85.25
19.17,85.27
19.34,85.2
19.5,85.44
19.7,85.05
19.87,85.37
20.04,85.3
20.21,85.1
20.39,84.74
20.56,85.4
20.73,85.56
20.91,85.66
21.07,85.41
21.27,85.26
21.43,86.84
21.6,84.93
21.77,83.92
21.94,84.17
22.14,89.55
22.31,84.63
22.47,80.12
22.64,90.05
22.81,83.97
23.01,87.44
23.18,87.25
23.35,82.13
23.52,87.62
23.69,83.42
23.86,84.83
24.04,84.84
24.21,85.23
24.38,88.0
24.54,86.29
24.72,83.21
24.89,85.2
25.06,86.79
25.24,84.67
25.4,85.09
25.56,82.59
25.73,84.17
25.9,85.9
26.07,86.47
26.29,85.81
26.46,85.23
26.63,85.34
26.8,84.76
26.97,85.49
27.14,85.05
27.34,84.51
27.51,87.15
27.68,83.25
27.87,85.7
28.05,86.18
28.28,85.33
28.44,85.2
28.62,85.42
28.79,85.4
28.95,85.53
29.13,85.32
29.38,85.31
29.55,85.24
29.72,85.34
29.89,85.15
30.07,85.41
30.24,84.99
30.4,85.4
30.58,85.14
30.78,85.29
30.95,85.38
31.12,85.29
31.3,85.45
31.47,85.0
31.64,85.38
31.82,85.36
32.01,85.08
32.21,85.17
32.38,85.39
32.56,85.16
32.73,85.27
32.9,85.2
33.08,85.28
33.26,85.26
33.43,85.24
33.59,85.33
33.76,85.26
33.92,85.06
34.09,85.4
34.29,85.26
34.46,85.36
34.63,85.16
34.79,85.3
34.97,85.29
35.13,85.39
35.34,85.0
35.51,85.51
35.68,85.44
35.86,85.3
36.05,85.08
36.26,85.45
36.43,85.56
36.59,85.18
36.77,85.41
36.96,85.81
37.13,84.64
37.3,85.33
37.47,85.37
37.64,85.17
37.82,85.31
37.98,85.16
38.16,85.33
38.32,85.13
38.49,85.24
38.68,85.27
38.85,85.03
39.01,85.14
39.18,85.54
39.36,57.55
39.54,61.97
39.7,81.08
39.87,80.55
40.04,85.0
40.21,110.35
40.37,100.43
40.54,92.43
40.72,78.23
40.88,65.5
41.05,84.94
41.23,85.41
41.39,85.57
41.58,85.06
41.74,85.44
41.98,85.18
42.15,85.22
42.31,85.28
42.48,85.78
42.68,84.97
42.85,97.54
43.03,97.6
43.2,107.47
43.38,127.43
43.56,132.18
43.72,51.93
43.9,52.84
44.05,96.52
44.23,87.68
44.4,82.4
44.57,85.81
44.77,85.25
44.95,85.19
45.12,85.08
45.28,85.21
45.44,85.19
45.6,85.88
45.77,80.56
45.97,104.5
46.14,107.63
46.31,118.07
46.49,129.03
46.69,52.36
46.87,42.91
47.05,59.92
47.23,96.14
47.4,81.97
47.58,85.4
47.75,85.16
47.92,84.97
48.1,85.16
48.28,85.41
48.51,85.48
48.68,82.82
48.86,51.26
49.04,60.11
49.22,76.8
49.39,142.4
49.56,123.62
49.73,104.2
49.9,89.63
50.08,78.11
50.25,79.75
50.42,85.61
50.59,85.76
50.76,85.13
50.93,85.5
51.1,85.16
51.29,85.11
51.48,85.12
51.64,85.45
51.81,85.64
52.01,87.02
52.17,99.19
52.34,117.2
52.5,133.44
52.68,133.67
52.85,41.16
53.02,50.67
53.23,102.77
53.39,80.61
53.56,85.15
53.73,85.39
53.92,85.33
54.08,85.43
54.26,84.99
54.42,85.36
54.59,85.08
54.76,85.23
54.93,86.66
55.1,80.77
55.27,102.98
55.44,116.5
55.6,132.7
55.77,135.73
55.94,118.15
56.12,29.0
56.27,92.3
56.45,101.47
56.63,73.72
56.82,85.31
56.98,85.15
57.15,85.31
57.32,85.27
57.48,85.47
57.66,85.17
57.83,85.38
58.0,85.15
58.16,80.21
58.33,45.0
58.5,57.0
58.66,64.98
58.82,85.05
59.0,117.99
59.17,102.05
59.34,95.37
59.5,84.94
59.67,69.62
59.84,83.21
60.01,85.47
60.18,85.53
60.35,84.87
60.51,85.71
60.69,85.41
60.87,85.29
61.04,85.04
61.21,85.17
61.39,85.28
61.56,84.95
61.74,79.7
61.91,90.83
62.1,101.7
62.27,110.5
62.44,126.32
62.61,133.45
62.78,54.79
62.96,40.38
63.14,53.18
63.34,93.05
63.51,84.91
63.7,85.63
63.87,85.2
64.05,85.57
64.25,85.25
64.41,85.3
64.59,84.99
64.76,85.43
64.94,84.03
65.11,58.4
65.28,50.35
65.47,101.36
65.65,107.41
65.83,129.92
66.0,126.68
66.18,111.29
66.36,49.72
66.53,61.01
66.7,86.98
66.87,87.01
67.11,85.27
67.27,85.07
67.45,85.26
67.62,85.2
67.8,85.06
67.97,85.27
68.14,85.47
68.32,57.61
68.51,67.77
68.7,77.84
68.9,130.75
69.07,142.1
69.27,117.44
69.43,100.11
69.64,63.15
69.8,58.38
69.97,70.68
70.14,89.72
70.31,86.79
70.52,85.45
70.69,85.41
70.86,84.94
71.03,85.48
71.2,85.09
71.4,85.36
71.56,84.2
71.74,83.67
71.9,67.27
72.07,54.77
72.24,97.88
72.45,104.2
72.61,117.63
72.79,122.3
72.98,62.93
73.15,57.17
73.33,60.4
73.51,74.91
73.68,84.47
73.86,85.54
74.05,85.13
74.23,85.34
74.39,85.62
74.66,85.38
74.85,85.42
75.02,85.5
75.19,85.17
75.37,84.7
75.57,90.26
75.74,96.13
75.9,99.71
76.07,109.03
76.27,124.65
76.44,75.27
76.61,69.53
76.78,53.08
76.94,53.14
77.12,83.98
77.29,85.4
77.46,85.07
77.63,85.42
77.79,85.41
77.95,85.18
78.15,84.57
78.33,73.95
78.49,54.77
78.68,60.6
78.84,71.1
79.02,132.93
79.19,125.12
79.36,106.71
79.53,93.12
79.72,85.47
79.89,83.41
80.07,90.55
80.25,83.11
80.41,85.83
80.72,85.13
80.9,85.39
81.07,85.2
81.25,85.11
81.41,85.22
81.57,85.33
81.74,85.48
81.94,80.6
82.11,95.7
82.29,98.43
82.45,99.81
82.62,111.85
82.8,84.96
82.96,74.74
83.13,62.25
83.31,51.11
83.49,64.96
83.69,84.29
83.89,86.08
84.06,85.64
84.25,85.03
84.46,85.1
84.63,85.16
84.79,85.4
84.96,85.67
85.14,84.35
85.33,86.76
85.5,91.86
85.68,93.47
85.85,104.85
86.01,122.75
86.18,80.82
86.35,71.89
86.51,61.44
86.68,54.64
86.86,60.63
87.03,84.88
87.21,85.15
87.4,85.2
87.57,85.29
87.76,85.08
87.92,85.66
88.1,85.21
88.27,85.09
88.45,57.81
88.62,66.39
88.79,78.1
88.96,86.66
89.15,94.15
89.32,97.82
89.49,91.15
89.66,86.33
89.83,83.41
90.0,70.95
90.18,83.95
90.35,85.96
90.52,85.63
90.7,85.3
90.87,85.19
91.04,85.51
91.26,85.16
91.44,85.29
91.61,85.17
91.78,85.15
91.96,85.17
92.13,83.78
92.3,58.8
92.46,74.45
92.64,90.0
92.8,94.38
92.97,106.64
93.17,86.56
93.34,82.27
93.51,71.91
93.69,60.73
93.87,53.18
94.05,91.45
94.23,85.29
94.41,85.87
94.58,85.17
94.75,85.66
94.92,84.8
95.14,84.38
95.31,78.65
95.5,57.65
95.67,56.64
95.88,99.64
96.07,122.72
96.23,133.09
96.41,121.18
96.61,67.33
96.77,56.93
96.94,56.24
97.1,76.04
97.27,88.72
97.48,85.2
97.66,85.21
97.82,85.26
97.99,85.24
98.17,85.37
98.34,85.26
98.52,59.6
98.7,44.28
98.88,70.27
99.05,81.37
99.22,83.22
99.4,119.78
99.56,106.14
99.74,97.4
99.91,92.57
100.08,84.72
100.24,81.03
100.42,86.07
100.59,86.45
100.76,84.52
100.98,85.28
101.16,84.8
101.34,85.67
101.53,85.12
101.71,84.99
101.88,85.18
102.05,88.3
102.22,93.78
102.39,100.08
102.57,106.83
102.77,94.38
102.95,90.97
103.12,79.17
103.28,58.2
103.45,47.64
103.63,86.64
103.81,84.38
103.99,85.73
104.16,85.28
104.34,85.44
104.62,85.27
104.8,85.13
104.96,86.93
105.13,74.33
105.29,48.82
105.47,103.42
105.63,119.68
105.8,134.75
105.98,122.84
106.16,104.98
106.32,54.02
106.5,50.76
106.68,71.07
106.84,93.8
107.05,85.48
107.21,84.95
107.38,84.96
107.55,85.27
107.72,85.17
107.9,84.98
108.08,85.34
108.25,85.43
108.42,86.14
108.59,77.42
108.76,45.89
108.93,54.7
109.12,115.93
109.29,128.64
109.47,121.57
109.65,104.74
109.88,47.21
110.04,86.76
110.2,96.56
110.38,78.55
110.55,86.53
110.79,85.18
110.96,85.33
111.12,85.15
111.3,85.22
111.49,85.39
111.68,85.55
111.85,84.92
112.02,83.45
112.2,95.18
112.37,98.85
112.53,102.64
112.7,108.84
112.87,128.59
113.04,68.4
113.2,49.92
113.38,48.16
113.56,79.86
113.73,90.48
113.9,85.65
114.07,85.52
114.23,85.36
114.4,85.18
114.57,85.33
114.75,85.4
114.93,85.66
115.11,52.08
115.3,59.2
115.48,68.55
115.66,78.16
115.85,134.14
116.02,122.33
116.19,103.57
116.36,92.78
116.54,86.76
116.71,88.18
116.88,92.76
117.05,81.58
117.22,85.61
117.39,85.96
117.59,86.35
117.76,74.74
117.93,90.24
118.11,82.38
118.31,85.87
118.49,70.27
118.65,55.89
118.82,59.47
118.99,68.41
119.17,135.45
119.34,131.02
119.52,107.79
119.7,92.7
119.86,87.25
120.04,68.89
120.21,88.26
120.38,87.32
120.56,83.06
120.73,85.29
121.44,85.39
121.61,85.52
121.79,85.16
121.97,85.64
122.14,83.95
122.34,77.85
122.51,84.57
122.69,95.87
122.87,107.11
123.04,117.72
123.21,83.65
123.39,78.57
123.56,64.77
123.73,56.21
123.91,63.03
124.09,85.58
124.28,85.25
124.46,85.06
124.63,85.11
124.81,85.37
124.97,85.03
125.14,85.16
125.31,85.41
125.49,84.87
125.66,85.49
125.82,84.95
125.99,85.17
126.16,89.0
126.33,93.26
126.49,107.56
126.66,119.81
126.83,127.66
127.04,68.35
127.22,46.05
127.4,45.36
127.58,73.2
127.74,93.64
127.93,85.51
128.09,85.15
128.26,85.3
128.43,85.24
128.61,85.14
128.78,85.09
128.95,85.26
129.12,85.19
129.29,84.87
129.47,85.18
129.63,78.56
129.8,81.06
129.97,83.51
130.14,93.68
130.3,107.51
130.49,82.14
130.67,78.15
130.86,66.25
131.02,59.85
131.22,58.99
131.39,85.68
131.57,84.69
131.77,85.19
131.93,85.52
132.09,85.67
132.35,84.77
132.51,85.61
132.68,85.28
132.86,84.54
133.03,85.57
133.23,72.43
133.4,86.05
133.58,91.53
133.76,91.68
133.99,100.15
134.17,96.22
134.34,93.47
134.5,87.16
134.68,71.72
134.86,81.96
135.03,86.58
135.21,85.47
135.38,85.65
135.54,84.67
135.71,85.26
135.89,85.26
136.06,84.75
136.24,85.93
136.41,84.83
136.59,85.11
136.77,41.82
136.93,57.27
137.11,68.36
137.28,79.82
137.45,89.33
137.63,92.2
137.8,87.44
137.96,82.56
138.12,67.94
138.29,55.47
138.49,85.11
138.66,86.01
138.84,84.51
139.02,84.97
139.19,85.61
139.46,85.33
139.65,85.53
139.82,85.36
139.99,85.5
140.17,72.13
140.38,101.27
140.54,103.47
140.73,112.66
140.9,130.9
141.09,121.19
141.26,59.58
141.45,53.55
141.63,67.17
141.8,88.19
142.1,85.68
142.33,85.31
142.52,85.42
142.69,85.14
142.87,84.72
143.04,85.65
143.24,85.03
143.42,84.81
143.59,85.3
143.76,85.37
143.93,84.73
144.1,85.57
144.26,84.57
144.42,77.98
144.63,83.58
144.8,102.98
144.98,125.16
145.17,84.59
145.34,78.91
145.51,63.66
145.67,52.37
145.84,54.05
146.03,85.31
146.2,84.77
146.36,85.35
146.53,85.08
146.71,85.69
146.88,84.81
147.06,86.41
147.23,86.46
147.41,84.19
147.58,70.41
147.75,48.98
147.93,113.18
148.1,128.45
148.27,125.54
148.44,105.94
148.65,62.47
148.82,54.06
148.99,55.93
149.16,88.81
149.32,94.12
149.5,85.0
149.68,85.13
149.84,85.61
150.01,84.8
150.18,85.36
150.35,84.96
150.53,85.35
150.7,49.33
150.87,65.19
151.04,73.4
151.22,88.08
151.43,119.3
151.63,98.68
151.81,87.49
151.98,85.71
152.17,84.03
152.32,87.71
152.49,81.53
152.65,85.18
152.85,85.85
153.03,85.13
153.2,85.59
153.36,84.87
153.53,85.57
153.69,85.06
153.85,84.57
154.07,80.39
154.25,59.33
154.43,48.6
154.6,65.25
154.77,77.71
154.94,128.02
155.11,124.34
155.27,107.2
155.45,94.55
155.65,57.73
155.82,83.66
155.99,94.62
156.15,81.66
156.33,83.82
156.51,85.04
156.68,85.54
156.85,85.12
157.03,84.72
157.21,85.39
157.38,84.98
157.57,48.39
157.73,58.18
157.9,69.59
158.07,79.11
158.25,87.54
158.41,115.13
158.58,99.53
158.75,90.86
158.92,88.32
159.1,87.06
159.27,86.3
159.44,83.49
159.61,86.37
159.78,85.24
159.96,84.9
160.13,85.42
160.3,85.6
160.47,84.76
160.64,85.64
160.82,85.31
161.0,85.16
161.16,73.15
161.35,86.04
161.52,87.71
161.69,93.09
161.85,107.61
162.08,91.18
162.26,84.72
162.43,66.44
162.6,50.15
162.78,46.06
162.95,86.26
163.11,84.49
163.28,85.64
163.44,85.17
163.62,85.27
163.78,85.1
163.94,56.82
164.12,59.18
164.29,73.03
164.47,81.7
164.66,127.74
164.84,118.15
165.01,98.82
165.17,93.59
165.34,93.73
165.57,83.9
165.74,82.21
165.92,87.04
166.09,85.02
166.26,84.29
166.48,85.73
166.65,85.29
166.81,85.14
166.98,85.07
167.16,85.24
167.32,85.18
167.5,85.13
167.68,85.13
167.94,85.21
168.12,85.08
168.3,85.48
168.49,85.24
168.67,85.03
168.84,85.04
169.02,85.14
169.19,85.08
169.36,85.34
169.54,85.03
169.7,85.36
169.87,85.29
170.04,85.28
170.21,84.99
170.37,85.41
170.54,85.12
170.7,84.74
170.87,85.12
171.04,85.32
171.2,85.18
171.38,85.31
171.6,85.18
171.77,85.23
171.93,85.06
172.09,84.99
172.26,85.42
172.42,85.22
172.65,85.41
172.82,85.22
173.0,84.83
173.17,85.53
173.33,85.2
173.49,85.02
173.66,85.42
173.83,85.21
174.0,85.33
174.18,85.05
174.33,85.3
174.5,84.98
174.67,85.49
174.84,85.1
175.01,85.19
175.23,85.14
175.45,85.25
175.61,85.26
175.79,85.52
175.97,85.11
176.14,84.86
176.32,85.45
176.49,85.13
176.67,85.17
176.83,85.31
177.02,85.23
177.18,85.09
177.41,85.12
177.6,85.23
177.77,85.19
177.94,85.04
178.12,85.35
178.28,84.98
178.45,85.38
178.61,85.35
178.78,84.9
178.95,85.34
179.12,85.39
179.29,84.94
179.45,85.13
179.62,85.08
179.79,85.11
179.98,85.52
180.14,85.14
180.41,85.22
180.57,85.07
180.74,84.89
180.91,85.29
181.07,84.96
181.24,85.4
181.4,85.02
181.57,85.3
181.73,85.26
181.89,84.9
182.05,85.33
182.23,85.37
182.39,84.88
182.61,85.03
182.77,85.32
182.94,85.46
183.11,84.77
183.28,85.3
183.5,84.99
183.66,85.11
183.83,85.04
184.0,85.38
184.18,85.43
184.35,84.93
184.52,85.19
184.69,85.2
184.86,85.29
185.03,84.83
185.31,85.15
185.53,85.06
185.73,84.9
185.91,85.01
186.13,85.24
186.29,85.29
186.47,85.36
186.65,85.35
186.84,85.0
187.0,85.21
187.17,85.25
187.35,85.01
187.6,85.3
187.77,85.27
187.94,85.33
188.11,85.31
188.3,85.34
188.47,85.12
188.64,85.24
188.8,85.32
